gen,best,avg,worst,feasible,mutationRate,diversityIndex,p95Transit,p95Wait,p95Cost,maxHopsRef
22,1.6963392631424123,1.6963392631424146,1.6963392631424123,1.0,0.135,0.0,1315.75,1368.0,1035.2375000000002,8
23,1.6963392631424123,1.6963392631424146,1.6963392631424123,1.0,0.135,0.0,1315.75,1368.0,1035.2375000000002,8
24,1.6963392631424123,1.6963392631424146,1.6963392631424123,1.0,0.135,0.0,1315.75,1368.0,1035.2375000000002,8
25,1.6963392631424123,1.6963392631424146,1.6963392631424123,1.0,0.135,0.0,1315.75,1368.0,1035.2375000000002,8
1,2.7481877839510913,23.170678720266316,83.2258218535609,1.0,0.06,0.3790165809033772,1315.75,1368.0,1035.2375000000002,8
2,2.7481877839510913,8.914965665250296,41.17991066909859,1.0,0.06,0.35369496855348365,1315.75,1368.0,1035.2375000000002,8
3,2.7481877839510913,4.719054347386947,24.199666147084077,1.0,0.06,0.2863011006289308,1315.75,1368.0,1035.2375000000002,8
4,2.7481877839510913,3.4106475770508036,13.26717631529946,1.0,0.06,0.5110455974842767,1315.75,1368.0,1035.2375000000002,8
5,2.7481877839510913,3.0703839075298216,4.245834989106026,1.0,0.06,0.5207940251572327,1315.75,1368.0,1035.2375000000002,8
6,2.7481877839510913,2.865501219656035,3.5302773553173616,1.0,0.06,0.32087264150943395,1315.75,1368.0,1035.2375000000002,8
7,2.7481877839510913,2.7677400232352514,3.5302773553173616,1.0,0.06,0.13439465408805032,1315.75,1368.0,1035.2375000000002,8
8,2.7481877839510913,2.748187783951095,2.7481877839510913,1.0,0.06,0.25794025157232703,1315.75,1368.0,1035.2375000000002,8
9,2.7481877839510913,2.748187783951095,2.7481877839510913,1.0,0.06,0.3242138364779874,1315.75,1368.0,1035.2375000000002,8
10,2.7481877839510913,2.748187783951095,2.7481877839510913,1.0,0.06,0.3316823899371069,1315.75,1368.0,1035.2375000000002,8
11,2.7481877839510913,2.748187783951095,2.7481877839510913,1.0,0.09,0.38309748427672957,1315.75,1368.0,1035.2375000000002,8
12,2.7481877839510913,2.748187783951095,2.7481877839510913,1.0,0.09,0.4132861635220126,1315.75,1368.0,1035.2375000000002,8
13,2.7481877839510913,2.748187783951095,2.7481877839510913,1.0,0.09,0.3647012578616352,1315.75,1368.0,1035.2375000000002,8
14,2.7481877839510913,2.748187783951095,2.7481877839510913,1.0,0.09,0.3059748427672956,1315.75,1368.0,1035.2375000000002,8
15,2.7481877839510913,2.748187783951095,2.7481877839510913,1.0,0.09,0.3316823899371069,1315.75,1368.0,1035.2375000000002,8
16,2.7481877839510913,2.748187783951095,2.7481877839510913,1.0,0.09,0.33089622641509436,1315.75,1368.0,1035.2375000000002,8
17,2.7481877839510913,2.748187783951095,2.7481877839510913,1.0,0.09,0.3239779874213837,1315.75,1368.0,1035.2375000000002,8
18,2.7481877839510913,2.748187783951095,2.7481877839510913,1.0,0.09,0.3503930817610063,1315.75,1368.0,1035.2375000000002,8
19,2.7481877839510913,2.748187783951095,2.7481877839510913,1.0,0.09,0.3999213836477987,1315.75,1368.0,1035.2375000000002,8
20,2.7481877839510913,2.748187783951095,2.7481877839510913,1.0,0.09,0.4593553459119497,1315.75,1368.0,1035.2375000000002,8
21,2.7481877839510913,2.8940086571844685,26.079527501290844,1.0,0.135,0.1795335429769349,1315.75,1368.0,1035.2375000000002,8
22,2.7481877839510913,2.748187783951095,2.7481877839510913,1.0,0.135,0.4786949685534591,1315.75,1368.0,1035.2375000000002,8
23,2.7481877839510913,2.748187783951095,2.7481877839510913,1.0,0.135,0.44882075471698113,1315.75,1368.0,1035.2375000000002,8
24,2.7481877839510913,2.748187783951095,2.7481877839510913,1.0,0.135,0.4425314465408805,1315.75,1368.0,1035.2375000000002,8
25,2.7481877839510913,2.748187783951095,2.7481877839510913,1.0,0.135,0.4643867924528302,1315.75,1368.0,1035.2375000000002,8
1,3.833886258122327,21.97182785548591,107.1207435158986,1.0,0.06,0.35943396226414764,1315.75,1368.0,1035.2375000000002,8
2,3.833886258122327,9.846079376957208,61.31501447939014,1.0,0.06,0.25902964959567887,1315.75,1368.0,1035.2375000000002,8
3,3.833886258122327,5.003554098675748,31.67077607456106,1.0,0.06,0.13413915094339623,1315.75,1368.0,1035.2375000000002,8
4,3.833886258122327,3.880943143878065,11.362987979039445,1.0,0.06,0.024764150943395985,1315.75,1368.0,1035.2375000000002,8
5,3.833886258122327,3.833886258122333,3.833886258122327,1.0,0.06,0.03702830188679245,1315.75,1368.0,1035.2375000000002,8
6,3.833886258122327,3.833886258122333,3.833886258122327,1.0,0.06,0.07264150943396226,1315.75,1368.0,1035.2375000000002,8
7,3.833886258122327,3.833886258122333,3.833886258122327,1.0,0.06,0.1179245283018868,1315.75,1368.0,1035.2375000000002,8
8,3.833886258122327,3.833886258122333,3.833886258122327,1.0,0.06,0.07264150943396226,1315.75,1368.0,1035.2375000000002,8
9,3.833886258122327,3.833886258122333,3.833886258122327,1.0,0.06,0.024842767295597486,1315.75,1368.0,1035.2375000000002,8
10,3.833886258122327,3.833886258122333,3.833886258122327,1.0,0.06,0.03702830188679245,1315.75,1368.0,1035.2375000000002,8
11,3.833886258122327,3.833886258122333,3.833886258122327,1.0,0.09,0.04905660377358491,1315.75,1368.0,1035.2375000000002,8
12,3.833886258122327,3.833886258122333,3.833886258122327,1.0,0.09,0.024842767295597486,1315.75,1368.0,1035.2375000000002,8
13,3.833886258122327,3.833886258122333,3.833886258122327,1.0,0.09,0.03702830188679245,1315.75,1368.0,1035.2375000000002,8
14,3.833886258122327,3.833886258122333,3.833886258122327,1.0,0.09,0.03702830188679245,1315.75,1368.0,1035.2375000000002,8
